                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1055,                0.79691,                 1.2832,                0.94003,                0.91583,                0.95814,                0.68971,                 0.9771,                0.55462,                 1.1365,              0.0075165,              0.0075165,              0.0075165
                     36,                 1.1179,                0.79974,                 1.2878,                0.93459,                0.90805,                0.95618,                 0.6789,                 1.0138,                0.56544,                 1.1644,              0.0074715,              0.0074715,              0.0074715
                     37,                  1.111,                 0.7925,                 1.2846,                0.94882,                0.91832,                0.95721,                0.66645,                 1.0686,                0.55428,                 1.1864,              0.0074266,              0.0074266,              0.0074266
                     38,                  1.102,                0.77899,                 1.2798,                0.92963,                 0.8758,                0.94111,                0.66957,                 1.0102,                0.63317,                 1.1503,              0.0073816,              0.0073816,              0.0073816
                     39,                 1.1005,                0.77979,                 1.2759,                 0.9421,                0.90568,                0.95559,                0.66513,                  1.049,                0.57998,                 1.1764,              0.0073367,              0.0073367,              0.0073367
                     40,                 1.0992,                0.78228,                 1.2806,                0.93322,                0.90716,                0.95499,                 0.6708,                 1.0291,                0.56499,                 1.1687,              0.0072917,              0.0072917,              0.0072917
                     41,                 1.0915,                 0.7632,                 1.2707,                0.93841,                0.91738,                0.95234,                0.67877,                0.99141,                0.56318,                 1.1423,              0.0072468,              0.0072468,              0.0072468
                     42,                 1.0932,                0.77396,                 1.2753,                0.93858,                 0.9128,                0.95571,                0.64199,                 1.0996,                0.58456,                 1.1937,              0.0072018,              0.0072018,              0.0072018
                     43,                 1.1046,                0.77252,                 1.2789,                0.93544,                0.89545,                0.94837,                0.69603,                0.90899,                 0.5689,                 1.1121,              0.0071568,              0.0071568,              0.0071568
                     44,                 1.0804,                0.75387,                 1.2617,                0.93511,                 0.9036,                0.96005,                0.70816,                0.89509,                0.53543,                 1.0838,              0.0071119,              0.0071119,              0.0071119
                     45,                 1.0767,                0.74771,                 1.2593,                0.93474,                0.90746,                0.95631,                0.65106,                 1.0819,                0.57933,                 1.1799,              0.0070669,              0.0070669,              0.0070669
                     46,                  1.086,                0.74767,                 1.2644,                0.93488,                0.91932,                0.96071,                0.68877,                 0.9695,                0.54049,                 1.1283,               0.007022,               0.007022,               0.007022
                     47,                  1.086,                0.75214,                 1.2665,                0.93798,                0.91508,                0.95805,                0.70205,                0.93972,                0.53988,                 1.1163,               0.006977,               0.006977,               0.006977
                     48,                 1.0785,                0.74669,                  1.265,                0.94473,                0.92519,                0.96528,                 0.6891,                0.97094,                0.52683,                 1.1391,              0.0069321,              0.0069321,              0.0069321
                     49,                 1.0731,                0.73757,                 1.2561,                0.94162,                0.92348,                0.96512,                0.68716,                0.97136,                0.53601,                 1.1313,              0.0068871,              0.0068871,              0.0068871
                     50,                 1.0747,                0.74067,                 1.2608,                0.94914,                 0.9188,                 0.9651,                0.69549,                0.94423,                 0.5219,                 1.1187,              0.0068422,              0.0068422,              0.0068422
                     51,                 1.0637,                0.73559,                 1.2521,                0.93632,                0.89589,                0.95468,                0.68126,                0.95655,                0.57892,                 1.1257,              0.0067972,              0.0067972,              0.0067972
                     52,                 1.0834,                 0.7434,                 1.2629,                0.93175,                0.93326,                0.96679,                0.69354,                0.96379,                0.52179,                 1.0984,              0.0067522,              0.0067522,              0.0067522
                     53,                 1.0723,                0.73722,                 1.2558,                0.94331,                 0.9155,                0.96453,                0.71071,                 0.9314,                  0.524,                 1.0971,              0.0067073,              0.0067073,              0.0067073
                     54,                 1.0639,                0.73159,                 1.2507,                0.92996,                 0.9235,                0.96366,                0.68355,                0.99519,                0.53728,                  1.137,              0.0066623,              0.0066623,              0.0066623
                     55,                 1.0654,                0.72299,                 1.2472,                0.94818,                0.91439,                0.96406,                0.70342,                0.93666,                0.53072,                 1.1009,              0.0066174,              0.0066174,              0.0066174
                     56,                 1.0655,                 0.7314,                 1.2477,                0.94095,                0.91452,                0.96783,                0.72215,                0.88425,                0.52324,                 1.0689,              0.0065724,              0.0065724,              0.0065724
                     57,                 1.0467,                0.70911,                 1.2362,                0.93499,                0.92989,                0.96771,                0.70601,                0.93809,                0.50206,                 1.1099,              0.0065275,              0.0065275,              0.0065275
                     58,                 1.0499,                0.72219,                 1.2405,                0.94299,                0.92975,                0.96593,                0.71453,                0.90038,                0.50511,                 1.0748,              0.0064825,              0.0064825,              0.0064825
                     59,                 1.0541,                0.72442,                 1.2433,                0.94725,                0.92051,                 0.9649,                0.67847,                 1.0065,                0.52212,                 1.1241,              0.0064376,              0.0064376,              0.0064376
                     60,                 1.0419,                0.70134,                 1.2343,                0.94588,                0.92333,                0.96986,                0.71965,                0.88983,                0.51137,                 1.0795,              0.0063926,              0.0063926,              0.0063926
                     61,                 1.0406,                0.70382,                 1.2302,                0.93306,                 0.9095,                0.95847,                0.70197,                0.93166,                0.52663,                 1.1016,              0.0063477,              0.0063477,              0.0063477
                     62,                 1.0364,                0.70842,                 1.2327,                0.94671,                0.92362,                0.97179,                0.71395,                0.92665,                0.49548,                 1.0859,              0.0063027,              0.0063027,              0.0063027
                     63,                 1.0404,                0.70529,                 1.2343,                0.93927,                0.92867,                0.96867,                0.73826,                0.85432,                0.47647,                 1.0544,              0.0062577,              0.0062577,              0.0062577
                     64,                 1.0297,                0.68665,                  1.229,                0.93999,                0.92763,                0.96507,                0.72543,                 0.8684,                0.49615,                 1.0754,              0.0062128,              0.0062128,              0.0062128
                     65,                 1.0335,                0.69891,                 1.2293,                0.94312,                0.92461,                0.96897,                0.70465,                0.94866,                0.50741,                 1.1135,              0.0061678,              0.0061678,              0.0061678
