                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69011,                 0.7506,                0.99507,                0.83075,                0.76556,                0.85228,                0.69198,                0.72206,                0.92745,                0.97008,              0.0024177,              0.0024177,              0.0024177
                     36,                0.66598,                0.69738,                0.98818,                0.60227,                0.66686,                0.70674,                0.57739,                0.75705,                 1.2209,                0.97801,              0.0024153,              0.0024153,              0.0024153
                     37,                 0.6691,                0.69891,                0.99243,                0.89287,                0.56881,                0.71366,                0.58983,                0.94295,                 1.5914,                 1.0786,              0.0024128,              0.0024128,              0.0024128
                     38,                0.68516,                0.66261,                0.99968,                0.81327,                0.79915,                0.88932,                0.72157,                0.81812,                 1.2437,                 1.0434,              0.0024103,              0.0024103,              0.0024103
                     39,                0.69668,                0.71231,                 1.0174,                0.86709,                0.83797,                0.88133,                0.72146,                0.75051,                0.85431,                0.99967,              0.0024078,              0.0024078,              0.0024078
                     40,                0.64405,                0.69551,                0.97272,                0.88433,                 0.8417,                0.92375,                0.73379,                0.74255,                0.84729,                 1.0274,              0.0024053,              0.0024053,              0.0024053
                     41,                0.63098,                0.63236,                0.96934,                0.79369,                0.72477,                0.85879,                 0.7146,                 0.7085,                 1.0163,                 1.0185,              0.0024028,              0.0024028,              0.0024028
                     42,                0.65239,                0.69392,                0.99303,                0.87361,                0.84404,                0.90377,                0.73235,                0.75225,                 1.0765,                 1.0013,              0.0024003,              0.0024003,              0.0024003
                     43,                0.70918,                0.65509,                 1.0012,                0.84123,                0.77779,                0.86218,                0.65841,                0.80779,                 1.0019,                 1.0116,              0.0023978,              0.0023978,              0.0023978
                     44,                0.71647,                0.66478,                  1.013,                0.91648,                0.82569,                0.91906,                0.76662,                0.78559,                0.80007,                 1.0049,              0.0023953,              0.0023953,              0.0023953
                     45,                0.70401,                0.66745,                 1.0322,                0.87686,                  0.784,                0.87057,                0.68701,                0.75653,                  1.164,                0.98519,              0.0023928,              0.0023928,              0.0023928
                     46,                0.64164,                0.63227,                0.95377,                0.84645,                0.77064,                0.87533,                0.72399,                0.73005,                 1.1374,                 0.9898,              0.0023903,              0.0023903,              0.0023903
                     47,                0.65802,                0.61713,                 1.0041,                0.94658,                0.81277,                0.91766,                0.76882,                0.70804,                0.83403,                0.98824,              0.0023878,              0.0023878,              0.0023878
                     48,                0.65837,                0.62608,                0.98698,                0.88533,                0.84404,                0.91699,                0.74956,                0.76769,                0.77016,                 1.0238,              0.0023853,              0.0023853,              0.0023853
                     49,                0.58636,                0.56196,                0.94667,                0.92756,                0.82231,                 0.9208,                 0.7673,                0.61913,                 0.6461,                0.92005,              0.0023829,              0.0023829,              0.0023829
                     50,                0.60837,                0.54504,                0.95812,                0.89519,                0.79817,                0.91998,                0.77801,                0.63185,                0.78622,                0.95077,              0.0023804,              0.0023804,              0.0023804
                     51,                 0.6115,                0.59635,                0.96275,                0.92134,                0.82569,                0.93456,                0.77403,                0.72752,                0.80801,                 0.9823,              0.0023779,              0.0023779,              0.0023779
                     52,                0.60834,                0.56142,                0.95297,                0.93636,                0.89908,                0.95163,                0.79712,                0.70581,                0.77281,                0.95568,              0.0023754,              0.0023754,              0.0023754
                     53,                0.66781,                0.59086,                 1.0092,                0.91775,                0.86239,                0.94963,                0.80251,                0.74309,                0.63016,                0.99092,              0.0023729,              0.0023729,              0.0023729
                     54,                  0.606,                0.59061,                0.97046,                0.86541,                0.88491,                0.93088,                 0.7968,                 0.6551,                0.71309,                0.96156,              0.0023704,              0.0023704,              0.0023704
                     55,                0.66119,                0.61845,                0.97062,                 0.9209,                0.85321,                0.94159,                0.78391,                0.73713,                0.82552,                  0.955,              0.0023679,              0.0023679,              0.0023679
                     56,                0.63268,                0.62209,                0.97476,                0.82413,                0.91743,                0.91912,                0.77381,                0.72806,                0.78067,                0.98269,              0.0023654,              0.0023654,              0.0023654
                     57,                0.57994,                0.54963,                0.93177,                0.90637,                0.79927,                0.85925,                0.71729,                0.69989,                 1.0447,                 1.0301,              0.0023629,              0.0023629,              0.0023629
                     58,                0.56988,                0.55589,                0.94511,                0.89376,                0.78899,                0.89501,                0.73252,                0.67002,                0.68583,                0.97573,              0.0023604,              0.0023604,              0.0023604
                     59,                0.59912,                0.54148,                 0.9503,                 0.9241,                0.78188,                0.91316,                0.75447,                0.64607,                0.94885,                0.93043,              0.0023579,              0.0023579,              0.0023579
                     60,                0.60273,                0.55505,                0.94393,                0.86654,                0.83397,                0.88542,                0.73686,                0.71045,                   0.82,                0.97793,              0.0023554,              0.0023554,              0.0023554
                     61,                0.62751,                0.56319,                0.97893,                0.96653,                0.79473,                0.92694,                0.73083,                 0.7343,                0.72357,                0.96945,              0.0023529,              0.0023529,              0.0023529
                     62,                0.58805,                0.54893,                0.95121,                0.85024,                0.88073,                0.91582,                0.75474,                0.65117,                0.74126,                0.93822,              0.0023505,              0.0023505,              0.0023505
                     63,                0.58691,                0.54192,                0.93591,                0.84061,                0.85321,                0.90319,                0.76457,                0.61255,                0.94648,                0.91289,               0.002348,               0.002348,               0.002348
                     64,                0.57723,                0.57458,                0.94215,                0.86968,                0.88073,                0.91164,                0.75759,                0.66383,                0.67136,                0.96295,              0.0023455,              0.0023455,              0.0023455
                     65,                0.57232,                 0.5398,                0.93966,                0.84251,                0.89908,                0.93038,                0.78513,                 0.6802,                 0.6942,                0.96304,               0.002343,               0.002343,               0.002343
                     66,                0.56894,                0.49902,                 0.9277,                0.88717,                0.86563,                0.91875,                0.77922,                0.62542,                0.58595,                0.92907,              0.0023405,              0.0023405,              0.0023405
                     67,                0.57024,                0.53977,                0.94354,                0.88865,                0.87866,                0.92932,                0.78594,                0.59937,                0.63862,                0.91028,               0.002338,               0.002338,               0.002338
                     68,                0.60423,                0.55073,                0.96171,                 0.9102,                0.85321,                0.89561,                0.72619,                0.72862,                0.90048,                0.96509,              0.0023355,              0.0023355,              0.0023355
